time	HR	
1	68	
2	68	
3	68	
4	68	
5	68	
6	68	
7	66	
8	64	
9	63	
10	63	
11	63	
12	62	
13	61	
14	61	
15	61	
16	61	
17	61	
18	61	
19	62	
20	61	
21	61	
22	61	
23	61	
24	61	
25	61	
26	63	
27	65	
28	68	
29	71	
30	72	
31	73	
32	74	
33	72	
34	70	
35	68	
36	66	
37	64	
38	62	
39	62	
40	61	
41	62	
42	62	
43	64	
44	65	
45	66	
46	67	
47	69	
48	74	
49	75	
50	77	
51	78	
52	78	
53	78	
54	78	
55	78	
56	78	
57	78	
58	75	
59	74	
60	72	
61	70	
62	69	
63	70	
64	69	
65	69	
66	68	
67	68	
68	68	
69	67	
70	67	
71	69	
72	70	
73	70	
74	69	
75	68	
76	70	
77	70	
78	69	
79	68	
80	69	
81	70	
82	70	
83	70	
84	70	
85	70	
86	70	
87	67	
88	67	
89	67	
90	69	
91	69	
92	70	
93	70	
94	69	
95	69	
96	69	
97	69	
98	69	
99	69	
100	68	
101	67	
102	68	
103	70	
104	71	
105	71	
106	72	
107	73	
108	74	
109	74	
110	74	
111	74	
112	74	
113	74	
114	73	
115	72	
116	71	
117	70	
118	70	
119	68	
120	68	
121	68	
122	70	
123	72	
124	76	
125	75	
126	76	
127	76	
128	76	
129	77	
130	81	
131	81	
132	82	
133	82	
134	82	
135	82	
136	79	
137	79	
138	76	
139	75	
140	73	
141	70	
142	69	
143	70	
144	71	
145	72	
146	71	
147	70	
148	69	
149	68	
150	66	
151	67	
152	68	
153	68	
154	67	
155	67	
156	69	
157	70	
158	69	
159	72	
160	73	
161	74	
162	73	
163	73	
164	76	
165	77	
166	76	
167	77	
168	82	
169	82	
170	82	
171	82	
172	82	
173	82	
174	82	
175	83	
176	83	
177	81	
178	81	
179	81	
180	79	
181	78	
182	76	
183	76	
184	76	
185	74	
186	72	
187	72	
188	70	
189	67	
